schema,view_name,definition
bronze,vw_brz_saleshistory_afi__invoicedetail,
bronze,vw_brz_saleshistory_afi__invoiceheader,
bronze,vw_brz_supplychain_enh_1__demandforecastsnapshotdaily,
bronze,vw_brz_wholesale_codis_afi__codatan,
bronze,vw_brz_wholesale_codis_afi__comast,
bronze,vw_brz_wholesale_codis_afi__extord,
bronze,vw_brz_wholesale_codis_afi__extorit,
bronze,vw_ref_calendar,
bronze,vw_ref_customer_account,
bronze,vw_ref_customer_account_group,
bronze,vw_ref_customer_grouping,
bronze,vw_ref_customer_shipping_location,
bronze,vw_ref_forecast_cycle,
bronze,vw_ref_forecast_horizon,
bronze,vw_ref_item_master,
bronze,vw_ref_order_type,
bronze,vw_ref_product,
bronze,vw_ref_warehouse,
gold,vw_gld_fact_flat_forecast_actual,
gold,vw_gld_fact_forecast_kpi,
silver,vw_slv_actual_demand_monthly,
silver,vw_slv_actual_demand_weekly,
silver,vw_slv_forecast_demand_monthly,
silver,vw_slv_invoice_detail_line_level,
silver,vw_slv_invoice_weekly,
silver,vw_slv_naive_forecast_monthly,
silver,vw_slv_open_order_line_level,
silver,vw_slv_open_order_monthly,
